title,domestic_revenue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
Star Wars: Episode VIII - The Last Jedi,"$620,181,382","$1,332,539,889",Walt Disney Studios Motion Pictures,"$220,009,584","4,232","$317,000,000",PG-13,"Action,Adventure,Fantasy,Sci-Fi",382
The Fate of the Furious,"$226,008,385","$1,236,005,118",Universal Pictures,"$98,786,705","4,310","$250,000,000",PG-13,"Action,Adventure,Thriller",262
Wonder Woman,"$412,563,408","$821,847,012",Warner Bros.,"$103,251,471","4,165","$149,000,000",PG-13,"Action,Adventure,Fantasy,Sci-Fi,War",217
Guardians of the Galaxy Vol. 2,"$389,813,101","$863,756,051",Walt Disney Studios Motion Pictures,"$146,510,104","4,347","$200,000,000",PG-13,"Action,Adventure,Comedy,Sci-Fi",241
Beauty and the Beast,"$504,014,165","$1,263,521,126",Walt Disney Studios Motion Pictures,"$174,750,616","4,210","$160,000,000",PG,"Family,Fantasy,Musical,Romance",290
It,"$327,481,748","$700,381,748",Warner Bros.,"$123,403,419","4,103","$35,000,000",R,Horror,119
Spider-Man: Homecoming,"$334,201,140","$880,166,924",Sony Pictures Releasing,"$117,027,503","4,348","$175,000,000",PG-13,"Action,Adventure,Sci-Fi",182
Thor: Ragnarok,"$315,058,289","$853,977,126",Walt Disney Studios Motion Pictures,"$122,744,989","4,080","$180,000,000",PG-13,"Action,Adventure,Comedy,Fantasy,Sci-Fi",424
Logan,"$226,277,068","$619,021,436",Twentieth Century Fox,"$88,411,916","4,071","$97,000,000",R,"Action,Drama,Sci-Fi,Thriller",304
Despicable Me 3,"$264,624,300","$1,034,799,409",Universal Pictures,"$72,434,025","4,529","$80,000,000",PG,"Adventure,Animation,Comedy,Family,Fantasy,Sci-Fi",189
Girls Trip,"$115,171,585","$140,552,359",Universal Pictures,"$31,201,920","2,591","$19,000,000",R,"Adventure,Comedy,Drama",164
Anna,"$7,743,794","$31,329,947",Lionsgate,"$3,600,647","2,114",N/A,R,"Action,Thriller",235
The Art of Self-Defense,"$2,410,914","$2,414,269",Bleecker Street Media,"$114,374",7,N/A,R,"Comedy,Crime,Drama,Mystery,Sport,Thriller",214
Rogue One: A Star Wars Story,"$532,177,324","$1,056,057,273",Walt Disney Studios Motion Pictures,"$155,081,681","4,157","$200,000,000",PG-13,"Action,Adventure,Sci-Fi",381
1917,"$133,589,074","$291,389,074",Universal Pictures,"$576,216",11,N/A,R,"Drama,War",48
Sing,"$270,395,425","$634,151,679",Universal Pictures,"$35,258,145","4,022","$75,000,000",PG,"Animation,Comedy,Family,Musical",376
La La Land,"$151,101,803","$446,171,671",Lionsgate,"$881,104",5,"$30,000,000",PG-13,"Comedy,Drama,Music,Musical,Romance",388
Wonder,"$132,422,809","$305,937,718",Lionsgate,"$27,547,866","3,096",N/A,PG,"Drama,Family",410
The Giant Spider Invasion,"$293,053","$293,053",Fathom Events,N/A,N/A,N/A,N/A,"Horror,Sci-Fi",180
Junglee,"$295,784","$4,033,587",Viva Pictures Distribution,"$47,089",70,N/A,N/A,"Action,Adventure",319
K-12,"$303,230","$359,377",Abramorama,N/A,N/A,N/A,N/A,"Family,Fantasy,Horror,Musical",159
DanTDM Presents The Contest,"$307,484","$765,363",Fathom Events,"$307,484",684,N/A,N/A,N/A,101
Bolshoi Ballet: The Sleeping Beauty,"$311,368","$311,368",Fathom Events,"$311,368",355,N/A,N/A,"Fantasy,Music,Romance",338
Sword of Trust,"$322,421","$323,369",IFC Films,"$19,332",2,N/A,R,"Comedy,Drama",214
Lucy in the Sky,"$319,976","$325,950",Fox Searchlight Pictures,"$54,058",37,N/A,R,"Drama,Sci-Fi",130
National Theatre Live: Fleabag,"$326,283","$6,460,606",Fathom Events,N/A,N/A,N/A,N/A,Comedy,85
P Storm,"$326,711","$117,991,727",CMC Pictures,"$104,071",30,N/A,Not Rated,"Action,Crime",313
The Big Fight Live: IBF Welterweight Title: Errol Spence Jr. vs. Mikey Garcia,"$328,979","$328,979",Fathom Events,"$328,979",288,N/A,N/A,Sport,332
A Silent Voice: The Movie,"$333,984","$333,984",Fathom Events,N/A,N/A,N/A,N/A,"Animation,Drama,Family,Romance",338
You Are Here: A Come From Away Story,"$318,885","$318,885",Fathom Events,N/A,N/A,N/A,N/A,Documentary,153
Line Walker 2: Invisible Spy,"$296,751","$99,482,027",Well Go USA Entertainment,"$96,991",17,N/A,N/A,"Action,Crime,Thriller",179
Ask Dr. Ruth,"$297,195","$318,230",Magnolia Pictures,"$93,128",104,N/A,Not Rated,"Biography,Documentary",284
Aquarela,"$307,346","$596,097",Sony Pictures Classics,"$24,753",5,N/A,PG,Documentary,179
The Chambermaid,"$86,422","$164,531",Kino Lorber,"$5,490",1,N/A,N/A,Drama,228
Sonchiriya,"$86,765","$135,413",PackYourBag Films,"$60,170",70,N/A,N/A,"Action,Crime,Drama",347
ECCO,"$86,858","$86,858",Citadel Film Group,"$48,205",155,N/A,R,"Crime,Drama,Thriller",186
Josh Groban Bridges from Madison Square Garden,"$315,173","$315,173",Trafalgar Releasing,N/A,N/A,N/A,N/A,N/A,368
The Lumber Baron,"$88,336","$88,336",Indican Pictures,"$15,059",11,N/A,N/A,"Drama,History,Mystery",263
Plácido Domingo Gala,"$52,502","$311,246",Fathom Events,"$52,502",217,N/A,N/A,N/A,157
Ophelia,"$50,722","$229,405",IFC Films,"$22,145",58,N/A,PG-13,"Drama,History,Romance,Thriller,War",228
"Cyrano, My Love","$351,019","$5,982,358",Roadside Attractions,N/A,N/A,N/A,R,"Comedy,Drama,History",368
